frame_index,block_size,compression_ratio,psnr,ssim,encoding_time,fractal_dimension,domain_pool_size
20,16,16.0,18.62038703043951,0.5604616003340345,1.3466510772705078,1.8016953968305336,225
20,32,64.0,16.59512809642015,0.3724042972295501,0.0862128734588623,1.8016953968305336,49
21,8,4.0,22.96835998290973,0.805689685366856,15.779085159301758,1.7994847473493507,961
21,16,16.0,18.742703746953254,0.5603321251772381,1.0135829448699951,1.7994847473493507,225
21,32,64.0,15.804865367133164,0.3554674385377578,0.062439680099487305,1.7994847473493507,49
22,8,4.0,24.01757755650661,0.8156861031168169,15.425787210464478,1.799960596598002,961
22,16,16.0,18.146585696233448,0.5536647745617339,1.036891222000122,1.799960596598002,225
22,32,64.0,15.904660339358085,0.35227135440310897,0.07148361206054688,1.799960596598002,49
23,8,4.0,22.111255994298396,0.801573743072102,15.413373470306396,1.800032011612769,961
23,16,16.0,18.331698439110035,0.5548336962718824,1.4392943382263184,1.800032011612769,225
